"","sourcedb","labnr","c14age","c14std","sigma","c13val","site","feature","period","culture","material","country","lat","lon","shortref","TO","FROM"
"295","aDRAC","Beta-156378",2240,70,2,0,"Bwambé-Sommet (Est)","BWS 12",NA,"Bissiang/Malongo",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",-95,-95
"296","aDRAC","Beta-156379",2360,70,2,0,"Bwambé-Sommet (Est)","BWS 16",NA,"Bissiang/Malongo",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",-214,-677
"297","aDRAC","Beta-156380",2550,90,2,0,"Bwambé-Sommet (Est)","BWS 17",NA,"Bissiang/Malongo",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",-407,-407
"298","aDRAC","Beta-156381",2240,90,2,0,"Bwambé-Sommet (Est)","BWS 19",NA,"Bissiang/Malongo",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:78 Tab. 4.2",-44,-527
"299","aDRAC","Beta-156382",2410,60,2,0,"Bwambé-Sommet (Est)","BWS 2",NA,"Bwambé/Mpoengu",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2",-395,-678
"300","aDRAC","Beta-156383",2460,70,2,0,"Bwambé-Sommet (Est)","BWS 2",NA,"Bissiang/Malongo",NA,"CMR",2.893551,9.903519,"Nlend Nlend 2013/2014: 257; Eggert/Seidensticker 2016:78 Tab. 4.2",-407,-407
"301","aDRAC","Beta-156384",1830,70,2,0,"Campo","CAM 00/3",NA,"Campo",NA,"CMR",2.377257,9.83092,"Oslisly u.a. 2006; Eggert/Seidensticker 2016:64 Tab. 4.1",379,36
"302","aDRAC","Beta-156385",1780,60,2,0,"Campo","CAM 00/2",NA,"Campo",NA,"CMR",2.377257,9.83092,"Oslisly u.a. 2006; Eggert/Seidensticker 2016:65 Tab. 4.1",391,101
"303","aDRAC","Beta-156387",2340,60,2,0,"Malongo 1","2",NA,"Bissiang/Malongo",NA,"CMR",2.734167,9.866944,"Oslisly u.a. 2006: 131; Nlend Nlend 2013/2014: 199; Eggert/Seidensticker 2016:79 Tab. 4.2",-207,-684
"304","aDRAC","Beta-156388",1900,50,2,0,"Nlendé Dibe 3",NA,NA,NA,NA,"CMR",2.760833,9.880556,"Oslisly u.a. 2006; Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:81 Tab. 4.2",235,235
"305","aDRAC","Beta-163966",3160,70,2,0,"Mban 1",NA,NA,NA,NA,"TCD",8.10503,16.23683,"Lavachery et al. 2010; Clist 2012",-1261,-1567
"306","aDRAC","Beta-165709",1480,60,2,0,"Bwambe-Beach","BWB N1",NA,NA,NA,"CMR",2.898504,9.901455,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",655,497
"307","aDRAC","Beta-165710",1350,50,2,0,"Bwambe-Beach","BWB N2",NA,NA,NA,"CMR",2.898504,9.901455,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",769,769
"308","aDRAC","Beta-165711",1360,60,2,0,"Bwambe-Beach","BWB D2",NA,NA,NA,"CMR",2.898504,9.901455,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",773,773
"309","aDRAC","Beta-165712",1280,70,2,NA,"Eboundja 3",NA,NA,NA,NA,"CMR",2.7889,9.8894,NA,940,895
"310","aDRAC","Beta-165713",1740,50,2,0,"Eboundja 3",NA,NA,NA,NA,"CMR",2.788889,9.889444,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",403,160
"311","aDRAC","Beta-165714",1280,70,2,0,"Eboundja 3",NA,NA,NA,NA,"CMR",2.788889,9.889444,"Nlend Nlend 2013/2014; Eggert/Seidensticker 2016:83 Tab. 4.2",940,895
"312","aDRAC","Beta-169033",1020,50,2,0,"Mban 1",NA,NA,NA,NA,"TCD",8.10503,16.23683,"Lavachery et al 2010; Clist 2012",1153,926
"313","aDRAC","Beta-169185",410,50,2,0,"Akok Benyat 2",NA,NA,NA,NA,"CMR",2.395945,10.070991,"Oslisly et al 2013; Nlend Nlend 2013/2014: 48; Eggert/Seidensticker 2016:77 Tab. 4.2",1634,1528
