"id","name","st_x","st_y"
1083,"Bonga",16.873263,-1.117121
1118,"Batanga",18.594438,3.710706
2414,"LL01",17.515083,3.762835
1052,"Likunda",17.129339,0.732624
1060,"Mosengi",17.454138,0.245281
1044,"Boyenge",17.199855,-0.835253
1066,"Wafanya",20.378778,-1.354817
1086,"Ikelemba",16.504824,1.227166
1147,"Motenge-Boma",18.648645,3.244495
1139,"Loka",17.945614,0.320338
1127,"Bruxelles-Nganda",17.720453,-0.377489
2415,"LE2",17.515469,3.763434
1075,"Yengo",15.536524,1.959528
1513,"Boma",13.066667,-5.85
1490,"Agondje",12.489999,4.869999
1510,"Biou",14.1,9.866667
1504,"Bemboyo",15.176851,7.314782
2100,"Ntadi",15.058191,-4.879645
2102,"Kingudi 1",15.135231,-4.872877
2104,"Nseke-Nsandi 3",14.975548,-4.965505
2060,"Kindoki",15.01,-5.07
2068,"Kimbala Zolele",13.5945,-4.9028
2108,"Songololo",15.02028,-5.06583
2064,"Mbanza Mbata",15.13,-5.85
2062,"Yongo",15.00172,-5.04985
2066,"Ngongo Mbata Village",15.11,-5.77012
2114,"Vooka di Kindela",15.273532,-5.410939
2070,"Kinkenge",13.6631,-4.9478
2072,"Misenga 3",14.31167,-4.36194
2074,"Misenga 6",14.36833,-4.36833
2076,"Maningwa 1",13.674788,-5.354961
2084,"Bu 5d",13.7797,-5.4478
2078,"Maningwa 2",13.679846,-5.352076
2080,"Mbanza-Manteke 1",13.73292,-5.42556
2098,"Zongo 2",14.877447,-4.779303
1084,"Bomasa",16.185432,2.203077
2253,"Lycée Technique Omar Bongo",9.505857,0.324567
1061,"Munda",17.356948,1.162608
1165,"Bwambe-Beach",9.901455,2.898504
1371,"Bofomwa",19.8389,-0.530091
1406,"Bokene-Itela",22.534281,-0.73396
1103,"Sangha Fkm 85",17.148883,-0.653186
1408,"Bondombe-Etat",22.754983,-0.779686
1407,"Bokene-Nongo",22.563143,-0.732934
1410,"Bokao",22.88476,-0.859054
1411,"Lolitama",23.205936,-1.008104
1038,"Mondjo",19.265546,0.365923
1082,"Bonda",16.08439,2.189246
1087,"Konda",16.146811,1.782783
1409,"Bondombe-Protestant",22.806301,-0.785994
1109,"Sangha Fkm 40",16.932954,-1.045511
1157,"Sidi",19.868638,5.01693
2094,"Nkazu",13.736739,-5.499553
2118,"Kiyanika",15.297791,-5.586831
2120,"Vooka di Kitala Mbanza",15.302334,-5.611947
2122,"Kibula",15.212719,-5.647819
2124,"Vooka di Kimbongo 2",15.290833,-5.708617
2126,"Kongolo 2",15.272759,-5.845099
2128,"Kitsumbu",15.262114,-5.851171
2130,"Kimasengo",15.1019,-5.8569
2132,"Lemba",15.12472,-5.77583
2134,"Vooka di Kinkombo",15.154133,-5.724904
1979,"Mbanza Kimini",14.8644,-5.553635
2110,"Mpalukidi",15.01694,-5.07611
1989,"Ntadi village",15.05819,-4.87965
2018,"Mbanza Mbata",15.11389,-5.85806
2026,"Ngongo Mbata Moderne",15.11111,-5.77833
2006,"Vooka di Kitala Mbanza",15.30233,-5.61195
1994,"Yindula",15.24379,-5.31925
2009,"Vooka Kimbongo 2",15.29083,-5.70862
2015,"Luva",15.18639,-5.86194
